date,in_bed,asleep,snoring,rhr,hrv,body_weight_lb,other_notes,run_count,bike_count,swim_count,walk_count,strength_count,other_count,tri_session_count,total_session_count,run_miles,bike_miles,swim_miles,training_minutes,tri_training_minutes,total_elevation_ft,avg_hr_all,max_hr_all,avg_power_bike,weighted_power_bike,avg_cadence_bike,avg_cadence_run,avg_pace_run_min_per_mi,sauna_mins,notes
2026-03-30,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,14.3,0,66,88.7,101,,,,,,,
2026-03-29,,,,,,,,0,1,0,0,0,0,1,1,0,50.2,0,197.2,197.2,2552,138.4,156,140.7,149,91.9,,,,
2026-03-28,,,,,,,,0,0,1,1,0,0,1,2,0,0,2.03,81.4,53.6,91,114.8,156,,,,,,,
2026-03-27,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,27.2,0,91,89.4,101,,,,,,,
2026-03-26,,,,,,,,1,1,0,1,0,0,2,3,2.01,15.76,0,103.1,75.8,759,109.1,141,99.7,106,98.6,174,9.96,,
2026-03-25,,,,,,,,1,0,1,1,0,0,2,3,5.1,0,1.12,126.1,99.6,94,119.8,151,,,,174.4,9.51,,
2026-03-24,,,,,,,,0,1,0,1,0,0,1,2,0,18.23,0,85.6,59.9,719,108.7,138,100.4,104,98.5,,,,
2026-03-23,,,,,,,,0,0,0,1,1,0,0,2,0,0,0,33.6,0,89,87.4,101,,,,,,,
2026-03-22,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,29.1,0,94,81.6,91,,,,,,,
2026-03-21,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,27.2,0,83,94.3,97,,,,,,,
2026-03-20,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,28.2,0,80,85.5,100,,,,,,,
2026-03-19,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2026-03-18,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,28.7,0,93,84.5,96,,,,,,,
2026-03-17,,,,,,,,0,0,0,2,0,0,0,2,0,0,0,45.3,0,206,79.9,112,,,,,,,
2026-03-16,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2026-03-15,,,,,,,,1,1,0,0,0,0,2,2,12.95,56.26,0,304.8,304.8,3386,146.4,168,142,148,96.2,,9.54,,
2026-03-14,,,,,,,,1,0,0,0,0,0,1,1,2.82,0,0,26.2,26.2,41,139.4,157,,,,167,9.31,,
